commodity_id,region_id,time_slice,fraction
heat,GBR,winter.night,0.065498087
heat,GBR,winter.day,0.226148097
heat,GBR,winter.peak,0.111199678
heat,GBR,winter.evening,0.076688397
heat,GBR,peak.night,0.045882959
heat,GBR,peak.day,0.121987853
heat,GBR,peak.peak,0.068135438
heat,GBR,peak.evening,0.041334529
heat,GBR,summer.night,0.005698366
heat,GBR,summer.day,0.009494171
heat,GBR,summer.peak,0.003126411
heat,GBR,summer.evening,0.002327863
heat,GBR,autumn.night,0.037269058
heat,GBR,autumn.day,0.098086985
heat,GBR,autumn.peak,0.054500569
heat,GBR,autumn.evening,0.032621538
